Player,Nation,Pos,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Team,total_points,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,selected_by_percent,now_cost,element_type
Phil Foden,eng ENG,"FW,MF",23.0,33,2857.0,31.7,19.0,8.0,19.0,0.0,0.0,2.0,0.0,10.3,10.3,8.4,93.0,168.0,269.0,0.6,0.25,0.6,0.85,0.33,0.26,0.59,0.33,ManchesterCity,230,27,1157.8,1154.8,1172.0,31,866,348.8,14,43.3,85,MID
Julián Álvarez,ar ARG,"MF,FW",23.0,31,2647.0,29.4,11.0,8.0,9.0,2.0,2.0,2.0,0.0,13.0,11.5,6.4,64.0,103.0,180.0,0.37,0.27,0.31,0.58,0.44,0.22,0.66,0.39,ManchesterCity,158,24,1005.2,737.0,992.0,17,662,273.3,12,15.4,64,FWD
Kyle Walker,eng ENG,DF,33.0,30,2767.0,30.7,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.6,74.0,157.0,172.0,0.0,0.13,0.0,0.13,0.01,0.09,0.1,0.01,ManchesterCity,123,29,534.1,465.4,126.0,13,633,112.6,10,15.1,55,DEF
Erling Haaland,no NOR,FW,23.0,29,2552.0,28.4,27.0,5.0,20.0,7.0,8.0,1.0,0.0,29.2,22.9,4.3,35.0,26.0,126.0,0.95,0.18,0.71,0.88,1.03,0.15,1.18,0.81,ManchesterCity,217,25,367.2,1094.6,1581.0,29,792,303.3,11,73.6,143,FWD
Manuel Akanji,ch SUI,"DF,MF",28.0,28,2511.0,27.9,2.0,0.0,2.0,0.0,0.0,4.0,1.0,1.9,1.9,0.5,46.0,148.0,36.0,0.07,0.0,0.07,0.07,0.07,0.02,0.09,0.07,ManchesterCity,112,23,298.7,536.4,137.0,8,560,97.4,11,5.6,50,DEF
Joško Gvardiol,hr CRO,DF,21.0,26,2328.0,25.9,4.0,1.0,4.0,0.0,0.0,3.0,0.0,3.1,3.1,1.4,63.0,136.0,115.0,0.15,0.04,0.15,0.19,0.12,0.06,0.18,0.12,ManchesterCity,123,23,362.2,544.4,389.0,12,549,129.7,9,18.1,52,DEF
Nathan Aké,nl NED,DF,28.0,24,2042.0,22.7,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,1.2,24.0,116.0,18.0,0.09,0.09,0.09,0.18,0.11,0.05,0.16,0.11,ManchesterCity,99,20,197.7,447.2,249.0,6,483,89.7,6,5.2,50,DEF
Mateo Kovačić,hr CRO,MF,29.0,16,1551.0,17.2,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.6,37.0,100.0,38.0,0.06,0.0,0.06,0.06,0.07,0.09,0.17,0.07,ManchesterCity,59,14,365.9,265.0,129.0,2,316,76.0,9,0.3,46,MID
Kevin De Bruyne,be BEL,MF,32.0,15,1221.0,13.6,4.0,10.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,11.5,47.0,111.0,133.0,0.29,0.74,0.29,1.03,0.18,0.85,1.03,0.18,ManchesterCity,98,8,901.1,527.6,406.0,11,415,183.6,7,16.6,106,MID
John Stones,eng ENG,"DF,MF",29.0,12,1064.0,11.8,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,16.0,57.0,24.0,0.08,0.0,0.08,0.08,0.09,0.02,0.11,0.09,ManchesterCity,53,9,128.4,188.4,70.0,3,239,38.7,5,3.1,53,DEF
Jack Grealish,eng ENG,"FW,MF",27.0,10,1009.0,11.2,3.0,1.0,3.0,0.0,0.0,6.0,0.0,2.1,2.1,2.5,87.0,50.0,146.0,0.27,0.09,0.27,0.36,0.19,0.22,0.41,0.19,ManchesterCity,50,13,384.1,240.4,295.0,6,199,91.9,3,1.5,72,MID
Rico Lewis,eng ENG,"DF,MF",18.0,8,809.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,21.0,33.0,46.0,0.22,0.0,0.22,0.22,0.07,0.12,0.19,0.07,ManchesterCity,52,9,195.9,148.0,114.0,2,215,45.8,4,0.4,42,DEF
Oscar Bobb,no NOR,"FW,MF",20.0,2,302.0,3.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,1.2,13.0,25.0,38.0,0.3,0.3,0.3,0.6,0.41,0.37,0.78,0.41,ManchesterCity,30,5,147.1,105.4,107.0,2,112,36.0,1,0.1,44,MID
Kalvin Phillips,eng ENG,MF,27.0,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,ManchesterCity,10,13,23.3,35.6,31.0,0,27,9.1,0,0.0,47,MID
Sergio Gómez,es ESP,"FW,MF",22.0,0,53.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,4.0,2.0,4.0,0.0,1.7,0.0,1.7,0.41,0.31,0.73,0.41,ManchesterCity,9,2,23.0,22.6,10.0,0,24,5.6,0,1.0,38,DEF
